0	Generic	NotDef	NOTDEF
657	Hangul	rB1	uniB1CD
658	Hangul	rB1	uniB1D0
659	Hangul	rB1	uniB1D4
660	Hangul	rB1	uniB1DC
661	Hangul	rB1	uniB1DD
662	Hangul	rB1	uniB1DF
663	Hangul	rB1	uniB1E1
664	Hangul	rB1	uniB1E8
665	Hangul	rB1	uniB1E9
666	Hangul	rB1	uniB1EC
667	Hangul	rB1	uniB1F0
668	Hangul	rB1	uniB1F8
669	Hangul	rB1	uniB1F9
670	Hangul	rB1	uniB1FB
671	Hangul	rB1	uniB1FD
672	Hangul	rB2	uniB204
673	Hangul	rB2	uniB205
674	Hangul	rB2	uniB208
675	Hangul	rB2	uniB20B
676	Hangul	rB2	uniB20C
677	Hangul	rB2	uniB20D
678	Hangul	rB2	uniB214
679	Hangul	rB2	uniB215
680	Hangul	rB2	uniB217
681	Hangul	rB2	uniB219
682	Hangul	rB2	uniB21D
683	Hangul	rB2	uniB220
684	Hangul	rB2	uniB234
685	Hangul	rB2	uniB23C
686	Hangul	rB2	uniB258
687	Hangul	rB2	uniB25C
688	Hangul	rB2	uniB260
689	Hangul	rB2	uniB268
690	Hangul	rB2	uniB269
691	Hangul	rB2	uniB274
692	Hangul	rB2	uniB275
693	Hangul	rB2	uniB27B
694	Hangul	rB2	uniB27C
695	Hangul	rB2	uniB284
696	Hangul	rB2	uniB285
697	Hangul	rB2	uniB289
698	Hangul	rB2	uniB290
699	Hangul	rB2	uniB291
700	Hangul	rB2	uniB294
701	Hangul	rB2	uniB297
702	Hangul	rB2	uniB298
703	Hangul	rB2	uniB299
704	Hangul	rB2	uniB29A
705	Hangul	rB2	uniB2A0
706	Hangul	rB2	uniB2A1
707	Hangul	rB2	uniB2A3
708	Hangul	rB2	uniB2A5
709	Hangul	rB2	uniB2A6
710	Hangul	rB2	uniB2A7
711	Hangul	rB2	uniB2AA
712	Hangul	rB2	uniB2AB
713	Hangul	rB2	uniB2AC
714	Hangul	rB2	uniB2B0
715	Hangul	rB2	uniB2B4
716	Hangul	rB2	uniB2BC
717	Hangul	rB2	uniB2BF
718	Hangul	rB2	uniB2C1
719	Hangul	rB2	uniB2C8
720	Hangul	rB2	uniB2C9
721	Hangul	rB2	uniB2CC
722	Hangul	rB2	uniB2CF
723	Hangul	rB2	uniB2D0
724	Hangul	rB2	uniB2D2
725	Hangul	rB2	uniB2D8
726	Hangul	rB2	uniB2D9
727	Hangul	rB2	uniB2DB
728	Hangul	rB2	uniB2DD
729	Hangul	rB2	uniB2DE
730	Hangul	rB2	uniB2E0
731	Hangul	rB2	uniB2E2
732	Hangul	rB2	uniB2E4
733	Hangul	rB2	uniB2E5
734	Hangul	rB2	uniB2E6
735	Hangul	rB2	uniB2E8
736	Hangul	rB2	uniB2EB
737	Hangul	rB2	uniB2EC
738	Hangul	rB2	uniB2ED
739	Hangul	rB2	uniB2EE
740	Hangul	rB2	uniB2EF
741	Hangul	rB2	uniB2F3
742	Hangul	rB2	uniB2F4
743	Hangul	rB2	uniB2F5
744	Hangul	rB2	uniB2F7
745	Hangul	rB2	uniB2F8
746	Hangul	rB2	uniB2F9
747	Hangul	rB2	uniB2FA
748	Hangul	rB2	uniB2FB
749	Hangul	rB2	uniB2FD
750	Hangul	rB2	uniB2FF
751	Hangul	rB3	uniB300
752	Hangul	rB3	uniB301
753	Hangul	rB3	uniB304
754	Hangul	rB3	uniB308
